name x y confidence
sample_0.JPEG -0.0032244 -0.00369629 -0.00444911
sample_1.JPEG -0.00321525 -0.00315961 -0.00425096
sample_10.JPEG -0.0024282 -0.00240844 -0.00362315
sample_100.JPEG 0.575681 0.0347696 0.749482
sample_1000.JPEG -0.00343423 -0.00281159 -0.00480021
sample_1001.JPEG -0.00317497 -0.00342214 -0.00431935
sample_1002.JPEG 0.335348 0.794232 0.99725
sample_1003.JPEG 0.228728 0.551335 0.994184
sample_1004.JPEG -0.00329246 -0.00328714 -0.00450629
sample_1005.JPEG -0.00321613 -0.00359218 -0.00438837
sample_1006.JPEG -0.0031604 -0.00356857 -0.0042703
sample_1007.JPEG -0.00299325 -0.0036893 -0.00437267
sample_1008.JPEG -0.00312307 -0.00352779 -0.0041466
sample_1009.JPEG 0.702808 0.582496 0.990527
sample_101.JPEG -0.00337134 -0.00301005 -0.00465395
sample_1010.JPEG -0.00322546 -0.00369674 -0.00445134
sample_1011.JPEG 0.170925 0.422296 0.994426
sample_1012.JPEG 0.424698 0.392701 0.991914
sample_1013.JPEG 0.173164 0.451323 0.997197
sample_1014.JPEG -0.00330365 -0.0026274 -0.00409625
sample_1015.JPEG 0.710121 0.245163 0.993699
sample_1016.JPEG 0.584523 0.319601 0.992011
sample_1017.JPEG -0.00325048 -0.00281289 -0.00437067
sample_1018.JPEG 0.217712 0.758403 0.997298
sample_1019.JPEG 0.758775 0.117944 0.990602
sample_102.JPEG 0.315443 0.527636 0.993562
sample_1020.JPEG -0.00338954 -0.00368936 -0.00463995
sample_1021.JPEG 0.164416 0.452236 1.0009
sample_1022.JPEG 0.826527 0.0956822 0.990276
sample_1023.JPEG -0.00313303 -0.00316308 -0.00422885
sample_1024.JPEG -0.00317322 -0.00344094 -0.00436503
sample_1025.JPEG -0.0030144 -0.00352332 -0.00405909
sample_1026.JPEG 0.782808 0.496722 0.990974
sample_1027.JPEG 0.616097 0.156289 0.991275
sample_1028.JPEG -0.00324602 -0.00378067 -0.00449255
sample_1029.JPEG -0.00315396 -0.00344171 -0.00396339
sample_103.JPEG -0.00319355 -0.00360869 -0.0043443
sample_1030.JPEG 0.50188 0.21441 0.987017
sample_1031.JPEG -0.00318287 -0.00333099 -0.00401972
sample_1032.JPEG 0.836529 0.165636 0.992032
sample_1033.JPEG -0.00316834 -0.00362865 -0.00436733
sample_1034.JPEG 0.226664 0.322294 0.995366
sample_1035.JPEG -0.00325186 -0.00348054 -0.00448607
sample_1036.JPEG -0.0033271 -0.00290561 -0.00437496
sample_1037.JPEG -0.00311299 -0.00370635 -0.00392424
sample_1038.JPEG 0.570783 0.813607 0.99344
sample_1039.JPEG 0.782351 0.680446 0.993092
sample_104.JPEG -0.00312383 -0.0038477 -0.00425747
sample_1040.JPEG 0.414697 0.535695 0.995962
sample_1041.JPEG 0.708009 0.337668 0.99178
sample_1042.JPEG -0.00326694 -0.00305092 -0.00424023
sample_1043.JPEG -0.00333212 -0.00337907 -0.00436077
sample_1044.JPEG -0.00292088 -0.00351535 -0.00394524
sample_1045.JPEG 0.581144 0.0526353 0.992229
sample_1046.JPEG 0.756963 0.714907 0.996065
sample_1047.JPEG 0.405319 0.861895 0.991963
sample_1048.JPEG 0.404667 0.187115 0.990671
sample_1049.JPEG -0.0031022 -0.00314079 -0.00425304
sample_105.JPEG 0.484301 0.682667 0.998596
sample_1050.JPEG -0.00334021 -0.00320631 -0.0041404
sample_1051.JPEG 0.859788 0.316399 0.992613
sample_1052.JPEG 0.683489 0.569319 0.989838
sample_1053.JPEG -0.00312221 -0.00389009 -0.00420228
sample_1054.JPEG -0.00322471 -0.00361295 -0.00442646
sample_1055.JPEG -0.00323762 -0.0029476 -0.00427875
sample_1056.JPEG 0.530614 0.486739 0.994241
sample_1057.JPEG 0.274766 0.684328 0.995211
sample_1058.JPEG -0.00320111 -0.00372881 -0.0044543
sample_1059.JPEG 0.497976 0.167744 0.9896
sample_106.JPEG 0.396843 0.724764 0.991812
sample_1060.JPEG -0.00312959 -0.00364829 -0.00413106
sample_1061.JPEG 0.795164 0.538436 0.987551
sample_1062.JPEG -0.0034654 -0.0024051 -0.00463682
sample_1063.JPEG 0.765294 0.0472135 0.990471
sample_1064.JPEG -0.00316128 -0.00372721 -0.00435455
sample_1065.JPEG -0.00323735 -0.00312643 -0.00456717
sample_1066.JPEG 0.486432 0.302985 0.98822
sample_1067.JPEG 0.807801 0.402046 0.99038
sample_1068.JPEG 0.334545 0.319336 0.9927
sample_1069.JPEG -0.00329202 -0.00351792 -0.00462686
sample_107.JPEG -0.00323042 -0.00349573 -0.00447156
sample_1070.JPEG -0.00326711 -0.00355783 -0.00449999
sample_1071.JPEG 0.660268 0.449975 0.989884
sample_1072.JPEG -0.0030913 -0.0038336 -0.00418851
sample_1073.JPEG -0.00309211 -0.00383395 -0.00419023
sample_1074.JPEG -0.00312252 -0.00383348 -0.00423736
sample_1075.JPEG -0.00316922 -0.00371459 -0.00437197
sample_1076.JPEG -0.00322124 -0.00315585 -0.00413695
sample_1077.JPEG -0.00314985 -0.00357772 -0.00426529
sample_1078.JPEG -0.00311979 -0.00331515 -0.00415493
sample_1079.JPEG -0.00323004 -0.00331656 -0.00409832
sample_108.JPEG 0.10709 0.0418009 0.148082
sample_1080.JPEG -0.00317008 -0.00361297 -0.00432427
sample_1081.JPEG 0.352171 0.563569 0.994277
sample_1082.JPEG -0.00311838 -0.00383169 -0.00422857
sample_1083.JPEG -0.00312663 -0.00318817 -0.00416109
sample_1084.JPEG 0.544161 0.0331517 0.992115
sample_1085.JPEG 0.648812 0.0229906 0.992505
sample_1086.JPEG 0.547162 0.62408 0.99808
sample_1087.JPEG -0.00315103 -0.00388894 -0.00424596
sample_1088.JPEG -0.00315596 -0.00289916 -0.00436006
sample_1089.JPEG -0.00317542 -0.0035808 -0.00440271
sample_109.JPEG 0.173532 0.440467 1.00221
sample_1090.JPEG 0.204605 0.380977 0.492084
sample_1091.JPEG 0.482585 0.936118 0.996673
sample_1092.JPEG -0.0032375 -0.00343449 -0.00416212
sample_1093.JPEG 0.724592 0.453993 0.989416
sample_1094.JPEG -0.00317286 -0.00304967 -0.00444825
sample_1095.JPEG -0.00320356 -0.00270075 -0.00481504
sample_1096.JPEG -0.00321461 -0.00326497 -0.00492047
sample_1097.JPEG 0.390436 0.241628 0.993225
sample_1098.JPEG 0.383557 0.0217975 0.566746
sample_1099.JPEG -0.00333173 -0.00339244 -0.00431168
sample_11.JPEG 0.557822 0.521747 0.995034
sample_110.JPEG -0.00319444 -0.00364048 -0.00443736
sample_1100.JPEG 0.508034 0.297029 0.990273
sample_1101.JPEG 0.5862 0.159675 0.990555
sample_1102.JPEG -0.00319473 -0.00348074 -0.00439588
sample_1103.JPEG 0.552089 0.393512 0.98957
sample_1104.JPEG -0.0031604 -0.00371262 -0.00479035
sample_1105.JPEG -0.00326591 -0.00355732 -0.00449743
sample_1106.JPEG 0.630942 0.0310869 0.993149
sample_1107.JPEG -0.00309319 -0.00369442 -0.00413351
sample_1108.JPEG 0.382999 0.893709 0.991659
sample_1109.JPEG 0.220352 0.792847 0.99781
sample_111.JPEG -0.00331249 -0.00378221 -0.00479143
sample_1110.JPEG 0.371773 0.485852 0.995168
sample_1111.JPEG 0.557299 0.140193 0.991848
sample_1112.JPEG -0.00341495 -0.00340339 -0.00455308
sample_1113.JPEG 0.86637 0.491726 0.989476
sample_1114.JPEG -0.00314378 -0.00344991 -0.00413338
sample_1115.JPEG -0.00320181 -0.0036122 -0.00436181
sample_1116.JPEG 0.259135 0.278824 0.992674
sample_1117.JPEG 0.439546 0.633509 0.993906
sample_1118.JPEG -0.00321692 -0.00349007 -0.00444296
sample_1119.JPEG -0.0033916 -0.00346366 -0.00465329
sample_112.JPEG -0.00314153 -0.00337637 -0.00411288
